frames_mean,frames_median,frames_std,frames_min,frames_max,distance_mean,distance_median,distance_std,distance_min,distance_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
316.6,327.5,293.8728296389443,0.0,717.0,614.9,566.5,598.5351201057462,0.0,1437.0,1083.201622471086,905.2450642325848,1093.7306757715144,0.0,2623.551587018452,0.0,0.0,0.0,0.0,0.0
518.1,379.0,663.4706398929798,0.0,2302.0,666.4,716.5,602.268577961693,0.0,1437.0,692.58,696.1999999999999,661.1076913786436,0.0,1597.2,0.0,0.0,0.0,0.0,0.0
476.6166666666667,152.0,640.9977402889621,0.0,2108.0,483.1166666666667,189.0,558.2616200213739,0.0,1437.0,487.5933333333333,136.2,617.3241287650723,0.0,1688.8,0.0,0.0,0.0,0.0,0.0
278.4166666666667,153.5,309.34238268013365,0.0,1118.0,435.95,188.0,538.3464319871855,0.0,1437.0,460.21666666666664,148.1,598.564745917729,0.0,1690.0,0.0,0.0,0.0,0.0,0.0
332.9,66.5,464.79169886448415,0.0,2310.0,426.15,148.0,508.70301830570384,0.0,1437.0,446.12,135.89999999999998,553.2179512633335,0.0,1691.8,0.0,0.0,0.0,0.0,0.0
315.56666666666666,157.0,398.1915103174462,0.0,2291.0,470.45,188.0,550.808570043471,0.0,1437.0,513.92,148.1,628.7577214370147,0.0,1790.2,0.0,0.0,0.0,0.0,0.0
489.95,171.5,658.1902568153578,0.0,2327.0,496.3666666666667,297.0,546.257142338254,0.0,1437.0,506.61,134.1,610.8656299874793,0.0,1790.8,0.0,0.0,0.0,0.0,0.0
457.0,157.5,586.8763072402907,0.0,2194.0,552.65,217.0,607.2019659882534,0.0,1437.0,596.05,140.29999999999998,684.9009949133767,0.0,1869.2,0.0,0.0,0.0,0.0,0.0
433.26666666666665,79.5,648.4206933431069,0.0,2325.0,435.9166666666667,153.0,505.65278903171844,0.0,1437.0,455.78,136.6,589.9544679605932,0.0,1792.4,0.0,0.0,0.0,0.0,0.0
421.4,557.5,361.9972928075568,0.0,834.0,788.9,1072.0,677.2471410054088,0.0,1437.0,964.6200000000001,1200.6,845.2289841220544,0.0,1869.2,0.0,0.0,0.0,0.0,0.0
415.3,534.0,360.86757959118466,0.0,834.0,706.4,816.5,617.7163102913829,0.0,1437.0,893.3399999999999,957.0,801.7669140093024,0.0,1869.2,0.0,0.0,0.0,0.0,0.0
384.46666666666664,75.5,544.9093339466871,0.0,2443.0,454.55,148.5,536.1611519248046,0.0,1437.0,505.89000000000004,135.5,634.2983445508903,0.0,1868.2,0.0,0.0,0.0,0.0,0.0
350.46666666666664,66.5,447.25941267034517,0.0,2067.0,419.3833333333333,153.0,482.9051698372627,0.0,1436.0,444.1566666666667,136.4,539.1671850693026,0.0,1672.4,0.0,0.0,0.0,0.0,0.0
588.3,603.0,642.381981378681,0.0,2186.0,671.3,760.0,601.5666297260844,0.0,1437.0,753.5400000000001,667.5999999999999,740.705912221578,0.0,1868.2,0.0,0.0,0.0,0.0,0.0
